$city,count
Adelaide,11
Central,90
Chang-hua,2
Dabu,1
Guangzhou,1
Gyeyang-gu,21
Hsinchu,18
Hualien City,1
Kampong Ulu Jurong,13
Kaohsiung City,46
Keelung,3
Kowloon,14
Kuala Lumpur,1
Kwun Hang,3
London,5
NAN,60
New Taipei,66
Pingtung City,3
Santa Clara,1
Singapore,1
Taichung,91
Tainan City,9
Taipei,78
Taipei City,6
Taoyuan District,13
Zhongli District,10
