first_week,cohort_size,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29
2022-07-18T00:00:00.000+0000,164,1,1,0.11585365853658537,0.11585365853658537,0.11585365853658537,0.07926829268292683,0.03048780487804878,0.03048780487804878,0.03048780487804878,0.03048780487804878,0.03048780487804878,0.03048780487804878,0.03048780487804878,0.03048780487804878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022-07-25T00:00:00.000+0000,523,1,1,0.2676864244741874,0.2676864244741874,0.2676864244741874,0.07839388145315487,0.022944550669216062,0.022944550669216062,0.022944550669216062,0.022944550669216062,0.022944550669216062,0.022944550669216062,0.022944550669216062,0.022944550669216062,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0.0038240917782026767,0
2022-08-01T00:00:00.000+0000,371,1,1,0.3477088948787062,0.3477088948787062,0.3477088948787062,0.14555256064690028,0.05121293800539083,0.05121293800539083,0.05121293800539083,0.05121293800539083,0.05121293800539083,0.05121293800539083,0.05121293800539083,0.04851752021563342,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0.016172506738544475,0,0
2022-08-08T00:00:00.000+0000,479,1,1,0.2588726513569937,0.2588726513569937,0.2588726513569937,0.15657620041753653,0.037578288100208766,0.037578288100208766,0.037578288100208766,0.037578288100208766,0.037578288100208766,0.037578288100208766,0.037578288100208766,0.037578288100208766,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0.014613778705636743,0,0,0
2022-08-15T00:00:00.000+0000,539,1,1,0.44712430426716143,0.44712430426716143,0.44712430426716143,0.16697588126159554,0.04267161410018553,0.04267161410018553,0.04267161410018553,0.04267161410018553,0.04267161410018553,0.04267161410018553,0.04267161410018553,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.012987012987012988,0,0,0,0
2022-08-22T00:00:00.000+0000,450,1,1,0.5733333333333334,0.5733333333333334,0.5733333333333334,0.2644444444444444,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.022222222222222223,0.02,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.006666666666666667,0,0,0,0,0
2022-08-29T00:00:00.000+0000,376,1,1,0.5026595744680851,0.5026595744680851,0.5026595744680851,0.14893617021276595,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.026595744680851064,0.018617021276595744,0.010638297872340425,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,0.007978723404255319,0,0,0,0,0,0
2022-09-05T00:00:00.000+0000,392,1,1,0.48214285714285715,0.48214285714285715,0.48214285714285715,0.19387755102040816,0.04846938775510204,0.04846938775510204,0.04846938775510204,0.04846938775510204,0.04846938775510204,0.04846938775510204,0.04846938775510204,0.04846938775510204,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0,0,0,0,0,0,0
2022-09-12T00:00:00.000+0000,465,1,1,0.5526881720430108,0.5526881720430108,0.5526881720430108,0.1978494623655914,0.025806451612903226,0.025806451612903226,0.025806451612903226,0.025806451612903226,0.025806451612903226,0.025806451612903226,0.025806451612903226,0.021505376344086023,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0.0064516129032258064,0,0,0,0,0,0,0,0
2022-09-19T00:00:00.000+0000,428,1,1,0.5934579439252337,0.5934579439252337,0.5934579439252337,0.21495327102803738,0.02102803738317757,0.02102803738317757,0.02102803738317757,0.02102803738317757,0.02102803738317757,0.02102803738317757,0.02102803738317757,0.016355140186915886,0.007009345794392523,0.007009345794392523,0.007009345794392523,0.007009345794392523,0.007009345794392523,0.007009345794392523,0.007009345794392523,0,0,0,0,0,0,0,0,0
2022-09-26T00:00:00.000+0000,494,1,1,0.5728744939271255,0.5728744939271255,0.5728744939271255,0.1862348178137652,0.02834008097165992,0.02834008097165992,0.02834008097165992,0.02834008097165992,0.02834008097165992,0.02834008097165992,0.02834008097165992,0.02834008097165992,0.010121457489878543,0.010121457489878543,0.010121457489878543,0.010121457489878543,0.010121457489878543,0.010121457489878543,0,0,0,0,0,0,0,0,0,0
