Date,總訪客,總註冊,累積營收
2022-08-16,10215,1178,195242
2022-08-15,12189,1034,180177
2022-08-14,12673,1072,163729
2022-08-13,14030,1154,158794
2022-08-12,13744,1221,155351
2022-08-11,20715,1252,143514
2022-08-10,17822,1321,132680
2022-08-09,14648,1436,127340
2022-08-08,11434,1195,124048
2022-08-07,9738,696,116017
2022-08-06,9244,660,107388
2022-08-05,7100,684,98004
2022-08-04,8011,616,93815
2022-08-03,10688,628,81036
2022-08-02,10677,588,73709
2022-08-01,7609,568,67131
2022-07-31,8690,760,59888
2022-07-30,9876,901,53352
2022-07-29,11052,962,46623
2022-07-28,10357,897,31111
2022-07-27,12146,1832,19151
2022-07-26,2151,1553,15711
2022-07-25,2594,354,10024
2022-07-24,2638,507,8230
2022-07-23,3524,755,6584
2022-07-22,2406,1752,4189
