Date,直接總訪客,渠道總訪客,行銷總訪客,總訪客,直接新訪客,渠道新訪客,行銷新訪客,新訪客,直客註冊,渠道註冊,行銷註冊,總註冊,直客註冊率,渠道註冊率,行銷註冊率,總註冊率,信用卡驗證成功,證件驗證成功,總驗證成功,驗證率,直客體驗卷,體驗卷,總體驗卷,體驗卷使用率,直客訂閱,渠道七日訂閱,渠道月季年訂閱,行銷訂閱,總訂閱,直客訂閱率,渠道訂閱率,行銷訂閱率,總訂閱率,首次訂閱到期人數,首次訂閱續費人數,7日免費首訂續費人數,首次序費率,直客續費,渠道七日續費,渠道月季年續費,行銷續費,總續費,信用卡續費失敗,七日退訂,七日續費退訂,月退訂,季退訂,年退訂,總退訂,渠道月季年訂閱費用,渠道七日續費費用,累積訪客,累積註冊,累積訂閱用戶,累積付費用戶,站上訂閱人數,站上付費訂閱人數,真實站上付費訂閱人數,累積營收
2022-10-31,1775,6402,137,8314,1524,6041,120,7685,65,199,41,305,3.66 %,3.11 %,29.93 %,3.67 %,10,6,16,5.25 %,0,0,0,0.00 %,9,2,0,2,13,13.85 %,1.01 %,4.88 %,4.26 %,14,7,6,50.00 %,16,11,1,1,29,12,6,5,0,0,0,6,0,299,707199,74689,3692,1915,1490,1366,1157,1189879
2022-10-30,2186,7185,217,9588,1946,6775,192,8913,79,301,63,443,3.61 %,4.19 %,29.03 %,4.62 %,34,6,40,9.03 %,1,8,9,22.50 %,23,6,2,1,32,29.11 %,2.66 %,1.59 %,7.22 %,23,13,11,56.52 %,15,12,0,1,28,7,7,5,1,0,0,8,598,0,699805,74384,3678,1906,1491,1362,1153,1180311
2022-10-29,2264,5522,233,8019,2020,5165,209,7394,95,330,79,504,4.20 %,5.98 %,33.91 %,6.29 %,26,9,35,6.94 %,2,4,6,17.14 %,15,3,1,1,20,15.79 %,1.21 %,1.27 %,3.97 %,17,11,11,64.71 %,25,6,2,0,33,10,14,3,0,0,0,14,749,598,691375,73946,3648,1891,1471,1353,1140,1167943
2022-10-28,1570,4943,143,6656,1284,4613,128,6025,72,230,39,341,4.59 %,4.65 %,27.27 %,5.12 %,18,13,31,9.09 %,0,0,0,0.00 %,12,7,0,0,19,16.67 %,3.04 %,0.00 %,5.57 %,15,8,4,53.33 %,18,6,0,4,28,12,12,6,0,1,0,13,0,0,684499,73445,3628,1878,1472,1353,1136,1154678
2022-10-27,1477,4047,144,5668,1234,3713,126,5073,59,206,49,314,3.99 %,5.09 %,34.03 %,5.54 %,16,3,19,6.05 %,0,2,2,10.53 %,5,8,1,2,16,8.47 %,4.37 %,4.08 %,5.10 %,17,10,6,58.82 %,37,17,2,9,65,12,9,7,0,0,0,9,299,598,678880,73109,3610,1872,1474,1362,1144,1144808
2022-10-26,1685,4579,183,6447,1449,4244,167,5860,48,283,61,392,2.85 %,6.18 %,33.33 %,6.08 %,18,2,20,5.10 %,0,1,1,5.00 %,7,8,4,0,19,14.58 %,4.24 %,0.00 %,4.85 %,18,8,6,44.44 %,27,12,2,0,41,13,9,5,1,0,0,10,3546,598,674190,72802,3595,1865,1482,1368,1151,1120625
2022-10-25,1697,3905,186,5788,1474,3607,174,5255,82,228,64,374,4.83 %,5.84 %,34.41 %,6.46 %,18,8,26,6.95 %,1,1,2,7.69 %,11,5,2,1,19,13.41 %,3.07 %,1.56 %,5.08 %,28,16,11,57.14 %,18,21,2,6,47,12,9,5,1,1,0,11,2948,598,668821,72410,3576,1855,1487,1371,1150,1104820
2022-10-24,1874,4590,252,6716,1662,4234,239,6135,133,274,79,486,7.10 %,5.97 %,31.35 %,7.24 %,22,4,26,5.35 %,3,6,9,34.62 %,10,5,0,0,15,7.52 %,1.82 %,0.00 %,3.09 %,31,13,10,41.94 %,18,14,1,0,33,9,7,3,0,0,0,7,0,299,664015,72038,3559,1839,1494,1368,1144,1085723
2022-10-23,2120,5000,437,7557,1936,4734,419,7089,232,353,152,737,10.94 %,7.06 %,34.78 %,9.75 %,29,8,37,5.02 %,2,4,6,16.22 %,16,4,1,2,23,6.90 %,1.42 %,1.32 %,3.12 %,33,16,16,48.48 %,14,17,0,5,36,15,13,7,0,0,0,13,2649,0,658308,71553,3545,1828,1505,1365,1145,1074657
2022-10-22,2260,3733,991,6984,1999,3450,978,6427,1101,0,0,1101,48.72 %,0.00 %,0.00 %,15.76 %,41,25,66,5.99 %,23,0,23,34.85 %,21,1,0,1,23,1.91 %,inf %,inf %,2.09 %,38,21,18,55.26 %,24,14,1,2,41,8,10,4,0,2,0,12,0,299,651942,70818,3523,1810,1504,1351,1138,1060945
2022-10-21,2139,3402,435,5976,1882,3122,426,5430,166,177,147,490,7.76 %,5.20 %,33.79 %,8.20 %,25,5,30,6.12 %,2,4,6,20.00 %,10,3,2,4,19,6.02 %,2.82 %,2.72 %,3.88 %,20,11,10,55.00 %,16,23,0,2,41,9,12,7,1,1,0,14,598,0,651942,69735,3501,1785,1493,1332,1124,1037743
2022-10-20,1840,3413,49,5302,1163,2283,30,3476,65,85,11,161,3.53 %,2.49 %,22.45 %,3.04 %,12,5,17,10.56 %,0,0,0,0.00 %,5,7,0,0,12,7.69 %,8.24 %,0.00 %,7.45 %,20,8,5,40.00 %,18,16,1,1,36,9,8,3,1,0,0,9,0,299,647014,69251,3485,1772,1494,1323,1111,1022340
2022-10-19,1798,2928,36,4762,1570,2711,32,4313,60,85,13,158,3.34 %,2.90 %,36.11 %,3.32 %,19,2,21,13.29 %,0,0,0,0.00 %,8,8,1,0,17,13.33 %,10.59 %,0.00 %,10.76 %,29,21,18,72.41 %,24,22,0,2,48,8,10,5,2,0,0,12,749,0,642734,69092,3472,1767,1503,1329,1117,1010676
2022-10-18,1576,3449,48,5073,1384,3198,41,4623,165,216,10,391,10.47 %,6.26 %,20.83 %,7.71 %,23,6,29,7.42 %,0,0,0,0.00 %,13,11,1,1,26,7.88 %,5.56 %,10.00 %,6.65 %,22,11,11,50.00 %,15,21,1,9,46,12,13,3,1,0,0,14,749,299,638856,68934,3452,1745,1505,1321,1110,994376
2022-10-17,1604,4453,85,6142,1440,4189,79,5708,189,245,15,449,11.78 %,5.50 %,17.65 %,7.31 %,30,12,42,9.35 %,0,0,0,0.00 %,15,10,2,0,27,7.94 %,4.90 %,0.00 %,6.01 %,23,13,11,56.52 %,13,17,0,1,31,10,13,5,1,0,0,14,3398,0,634810,68546,3426,1731,1501,1317,1105,976925
2022-10-16,1737,5229,78,7044,1576,4962,68,6606,213,339,27,579,12.26 %,6.48 %,34.62 %,8.22 %,49,12,61,10.54 %,0,3,3,4.92 %,21,16,1,3,41,9.86 %,5.01 %,11.11 %,7.08 %,26,14,12,53.85 %,23,21,2,1,47,9,13,4,0,0,0,13,749,598,630548,68099,3399,1716,1497,1312,1100,960860
2022-10-15,1931,5208,58,7197,1714,4973,47,6734,238,315,19,572,12.33 %,6.05 %,32.76 %,7.95 %,45,15,60,10.49 %,0,0,0,0.00 %,23,12,2,4,41,9.66 %,4.44 %,21.05 %,7.17 %,33,19,19,57.58 %,21,12,2,3,38,10,14,5,0,1,0,15,598,598,624657,67522,3358,1695,1474,1296,1090,941265
2022-10-14,1537,3391,61,4989,1333,3174,54,4561,199,286,7,492,12.95 %,8.43 %,11.48 %,9.86 %,22,7,29,5.89 %,0,0,0,0.00 %,9,9,3,1,22,4.52 %,4.20 %,14.29 %,4.47 %,49,36,31,73.47 %,29,9,2,1,41,9,19,9,0,0,0,19,1347,598,618867,66954,3320,1674,1460,1284,1078,928408
2022-10-13,1351,2798,46,4195,1154,2617,38,3809,167,227,15,409,12.36 %,8.11 %,32.61 %,9.75 %,21,10,31,7.58 %,0,1,1,3.23 %,9,7,1,1,18,5.39 %,3.52 %,6.67 %,4.40 %,38,26,24,68.42 %,25,21,2,7,55,8,18,10,0,1,0,19,749,598,613376,66464,3300,1640,1459,1259,1060,913754
2022-10-12,1819,3783,56,5658,1587,3569,45,5201,172,228,10,410,9.46 %,6.03 %,17.86 %,7.25 %,40,17,57,13.90 %,1,0,1,1.75 %,18,10,3,1,32,10.47 %,5.70 %,10.00 %,7.80 %,25,9,9,36.00 %,16,10,1,2,29,12,15,5,0,0,0,15,1347,299,609381,66056,3282,1615,1467,1245,1054,896560
2022-10-11,1584,3248,64,4896,1396,3063,52,4511,182,245,13,440,11.49 %,7.54 %,20.31 %,8.99 %,23,14,37,8.41 %,0,2,2,5.41 %,14,7,1,0,22,7.69 %,3.27 %,0.00 %,5.00 %,35,18,17,51.43 %,16,13,2,6,37,9,17,9,0,0,0,17,299,598,605667,65648,3253,1603,1461,1241,1048,885494
2022-10-10,1722,2533,59,4314,1540,2366,51,3957,192,293,20,505,11.15 %,11.57 %,33.90 %,11.71 %,30,13,43,8.51 %,0,0,0,0.00 %,17,7,0,2,26,8.85 %,2.39 %,10.00 %,5.15 %,40,29,25,72.50 %,16,13,4,11,44,8,15,5,3,0,0,18,0,1196,601308,65210,3233,1585,1454,1224,1035,873833
2022-10-09,1973,2267,162,4402,1774,2107,157,4038,207,125,23,355,10.49 %,5.51 %,14.20 %,8.06 %,34,7,41,11.55 %,1,1,2,4.88 %,21,6,1,0,28,10.14 %,5.60 %,0.00 %,7.89 %,46,31,31,67.39 %,29,14,0,2,45,9,22,11,0,0,0,22,299,0,596886,64705,3208,1556,1451,1202,1016,854781
2022-10-08,2135,2227,190,4552,1910,2053,179,4142,276,144,44,464,12.93 %,6.47 %,23.16 %,10.19 %,40,11,51,10.99 %,0,0,0,0.00 %,24,9,0,1,34,8.70 %,6.25 %,2.27 %,7.33 %,45,26,25,57.78 %,15,11,1,4,31,8,15,6,1,0,0,16,0,299,593531,64350,3180,1522,1445,1172,998,839529
2022-10-07,1998,1992,416,4406,1791,1811,387,3989,264,132,65,461,13.21 %,6.63 %,15.62 %,10.46 %,63,17,80,17.35 %,3,2,5,6.25 %,36,8,0,2,46,13.64 %,6.06 %,3.08 %,9.98 %,33,20,18,60.61 %,24,14,2,0,40,10,17,5,1,0,0,18,0,598,589653,63889,3146,1495,1436,1157,983,829212
2022-10-06,1996,2708,55,4759,1795,2526,40,4361,255,125,52,432,12.78 %,4.62 %,94.55 %,9.08 %,49,18,67,15.51 %,5,1,6,8.96 %,20,8,1,8,37,7.84 %,7.20 %,15.38 %,8.56 %,25,11,10,44.00 %,10,16,3,1,30,7,12,2,2,0,0,14,749,897,585956,63433,3100,1475,1409,1144,972,814304
2022-10-05,1859,4812,78,6749,1623,4629,52,6304,288,162,7,457,15.49 %,3.37 %,8.97 %,6.77 %,30,14,44,9.63 %,0,0,0,0.00 %,16,8,1,1,26,5.56 %,5.56 %,14.29 %,5.69 %,16,10,9,62.50 %,10,14,4,0,28,6,12,2,1,0,0,13,299,1196,582038,63004,3063,1464,1386,1139,966,804585
2022-10-04,1720,2003,2210,5933,1514,1846,2178,5538,241,220,13,474,14.01 %,10.98 %,0.59 %,7.99 %,33,12,45,9.49 %,0,0,0,0.00 %,18,12,0,3,33,7.47 %,5.45 %,23.08 %,6.96 %,30,13,10,43.33 %,7,13,3,0,23,12,11,5,1,0,0,12,0,897,577238,62547,3038,1453,1381,1131,960,795615
2022-10-03,2553,1761,1911,6225,2402,1588,1899,5889,208,228,295,731,8.15 %,12.95 %,15.44 %,11.74 %,57,24,81,11.08 %,0,0,0,0.00 %,11,9,0,19,39,5.29 %,3.95 %,6.44 %,5.34 %,18,12,12,66.67 %,15,14,0,1,30,1,15,6,0,0,0,15,0,0,572620,62075,3005,1443,1365,1133,957,788738
2022-10-02,2320,1362,73,3755,2143,1162,64,3369,326,298,45,669,14.05 %,21.88 %,61.64 %,17.82 %,65,12,77,11.51 %,0,0,0,0.00 %,33,12,2,5,52,10.12 %,4.70 %,11.11 %,7.77 %,32,17,15,53.12 %,17,19,2,0,38,0,14,4,0,0,0,14,598,598,565859,61346,2966,1430,1354,1134,953,779469
2022-10-01,2349,4097,79,6525,2079,3692,71,5842,341,211,30,582,14.52 %,5.15 %,37.97 %,8.92 %,59,14,73,12.54 %,0,0,0,0.00 %,30,12,2,6,50,8.80 %,6.64 %,20.00 %,8.59 %,22,17,15,77.27 %,17,16,0,1,34,3,14,4,0,0,0,14,598,0,561441,60677,2915,1409,1318,1121,940,763513
2022-09-30,1335,6679,21,8035,1106,6148,13,7267,276,483,13,772,20.67 %,7.23 %,61.90 %,9.61 %,51,15,66,8.55 %,0,0,0,0.00 %,17,16,0,0,33,6.16 %,3.31 %,0.00 %,4.27 %,19,9,9,47.37 %,7,13,0,0,20,1,12,3,0,0,0,12,0,0,558496,60095,2868,1389,1286,1107,930,747853
2022-09-29,1106,6413,19,7538,939,5858,13,6810,138,505,1,644,12.48 %,7.87 %,5.26 %,8.54 %,31,12,43,6.68 %,1,0,1,2.33 %,8,17,2,0,27,5.80 %,3.76 %,0.00 %,4.19 %,36,14,11,38.89 %,16,10,2,0,28,3,12,10,0,0,0,12,1498,598,552042,59328,2834,1378,1280,1101,926,738925
2022-09-28,1079,5919,17,7015,916,5440,13,6369,140,404,5,549,12.97 %,6.83 %,29.41 %,7.83 %,25,15,40,7.29 %,0,0,0,0.00 %,7,13,1,1,22,5.00 %,3.47 %,20.00 %,4.01 %,25,14,14,56.00 %,26,9,0,2,37,0,21,11,0,0,0,21,749,0,545219,58684,2807,1363,1270,1091,918,725657
2022-09-27,1025,4373,12,5410,873,3892,6,4771,140,352,0,492,13.66 %,8.05 %,0.00 %,9.09 %,35,9,44,8.94 %,1,0,1,2.27 %,11,17,2,0,30,7.86 %,5.40 %,nan %,6.10 %,24,15,15,62.50 %,33,14,0,9,56,0,9,6,0,0,1,10,598,0,539307,58138,2787,1344,1279,1095,912,712199
2022-09-26,1159,9083,20,10262,1024,8373,17,9414,109,330,4,443,9.40 %,3.63 %,20.00 %,4.32 %,24,19,43,9.71 %,1,0,1,2.33 %,9,10,2,0,21,8.26 %,3.64 %,0.00 %,4.74 %,28,18,15,64.29 %,27,17,1,1,46,0,7,4,3,0,1,11,598,299,533746,57647,2758,1327,1277,1095,905,694558
2022-09-25,1219,7533,13,8765,1059,6903,10,7972,187,477,3,667,15.34 %,6.33 %,23.08 %,7.61 %,43,8,51,7.65 %,0,0,0,0.00 %,15,21,4,1,41,8.02 %,5.24 %,33.33 %,6.15 %,24,15,15,62.50 %,16,20,0,5,41,2,13,6,1,0,0,14,1646,0,528752,57207,2738,1309,1270,1082,895,677258
2022-09-24,1270,6480,19,7769,1114,5924,15,7053,178,437,5,620,14.02 %,6.74 %,26.32 %,7.98 %,41,7,48,7.74 %,0,0,0,0.00 %,7,14,3,1,25,3.93 %,3.89 %,20.00 %,4.03 %,25,8,7,32.00 %,15,13,0,1,29,0,7,2,2,0,0,9,897,0,519766,56541,2702,1285,1255,1065,885,658759
2022-09-23,1265,7090,13,8368,1082,6508,9,7599,158,378,2,538,12.49 %,5.33 %,15.38 %,6.43 %,24,17,41,7.62 %,1,0,1,2.44 %,4,14,1,1,20,2.53 %,3.97 %,50.00 %,3.72 %,29,12,11,41.38 %,12,10,0,5,27,2,13,4,0,0,0,13,299,0,512399,55923,2677,1274,1257,1065,884,648892
2022-09-22,1381,7291,11,8683,1219,6754,6,7979,196,482,2,680,14.19 %,6.61 %,18.18 %,7.83 %,38,39,77,11.32 %,0,0,0,0.00 %,23,17,0,0,40,11.73 %,3.53 %,0.00 %,5.88 %,26,12,10,46.15 %,12,10,1,0,23,0,11,2,0,0,0,11,0,299,506057,55388,2658,1263,1261,1062,875,640520
2022-09-21,1318,7912,18,9248,1140,7276,10,8426,198,492,5,695,15.02 %,6.22 %,27.78 %,7.52 %,17,6,23,3.31 %,0,0,0,0.00 %,13,11,0,1,25,6.57 %,2.24 %,20.00 %,3.60 %,40,20,16,50.00 %,11,21,0,1,33,2,17,6,3,0,0,20,0,0,498693,54710,2620,1248,1253,1058,862,631248
2022-09-20,1424,7134,20,8578,1162,6557,9,7728,152,440,3,595,10.67 %,6.17 %,15.00 %,6.94 %,36,10,46,7.73 %,0,0,0,0.00 %,16,12,1,1,30,10.53 %,2.95 %,33.33 %,5.04 %,42,12,11,28.57 %,13,18,1,2,34,2,14,6,0,0,0,14,299,299,491223,54016,2596,1230,1273,1059,854,620783
2022-09-19,1424,8755,15,10194,1255,8132,8,9395,171,392,1,564,12.01 %,4.48 %,6.67 %,5.53 %,41,24,65,11.52 %,0,0,0,0.00 %,8,19,1,0,28,4.68 %,5.10 %,0.00 %,4.96 %,31,18,18,58.06 %,15,22,0,1,38,2,17,12,1,0,0,18,2649,0,483832,53421,2567,1215,1266,1051,848,606621
2022-09-18,1248,7647,15,8910,1107,7056,13,8176,183,492,3,678,14.66 %,6.43 %,20.00 %,7.61 %,32,9,41,6.05 %,0,0,0,0.00 %,5,15,1,4,25,2.73 %,3.25 %,133.33 %,3.69 %,56,27,24,48.21 %,12,22,1,13,48,1,9,4,0,0,0,9,299,299,476220,52857,2540,1194,1278,1040,840,591562
2022-09-17,1361,6482,19,7862,1209,5941,16,7166,171,474,5,650,12.56 %,7.31 %,26.32 %,8.27 %,39,10,49,7.54 %,0,0,0,0.00 %,5,20,2,1,28,2.92 %,4.64 %,20.00 %,4.31 %,29,11,11,37.93 %,6,20,0,2,28,0,25,7,0,0,0,25,3398,0,467225,52180,2514,1169,1286,1031,828,576911
2022-09-16,1317,5536,23,6876,1158,5040,19,6217,191,304,4,499,14.50 %,5.49 %,17.39 %,7.26 %,28,10,38,7.62 %,0,0,0,0.00 %,13,15,2,1,31,6.81 %,5.59 %,25.00 %,6.21 %,36,23,20,63.89 %,15,26,2,1,44,1,12,6,0,0,0,12,3398,598,459515,51531,2487,1154,1286,1031,824,564093
2022-09-15,1358,6763,23,8144,1169,6214,15,7398,173,393,5,571,12.74 %,5.81 %,21.74 %,7.01 %,41,18,59,10.33 %,0,0,0,0.00 %,8,18,0,0,26,4.62 %,4.58 %,0.00 %,4.55 %,20,10,6,50.00 %,10,9,2,3,24,0,17,5,0,0,0,17,0,598,454212,51032,2457,1131,1279,1019,809,546491
2022-09-14,1419,7909,33,9361,1247,7366,23,8636,153,528,2,683,10.78 %,6.68 %,6.06 %,7.30 %,50,16,66,9.66 %,0,0,0,0.00 %,13,29,4,0,46,8.50 %,6.25 %,0.00 %,6.73 %,23,12,9,52.17 %,3,9,2,0,14,0,13,3,0,0,0,13,1646,598,448019,50462,2432,1125,1267,1015,805,539315
2022-09-13,1449,8084,30,9563,1221,7536,18,8775,175,579,6,760,12.08 %,7.16 %,20.00 %,7.95 %,48,22,70,9.21 %,0,0,0,0.00 %,16,25,2,1,44,9.14 %,4.66 %,16.67 %,5.79 %,35,20,14,57.14 %,19,19,1,1,40,0,15,5,0,0,0,15,598,299,440692,49780,2390,1107,1250,1007,797,531538
2022-09-12,1389,5785,464,7638,1196,5285,448,6929,208,632,6,846,14.97 %,10.92 %,1.29 %,11.08 %,54,27,81,9.57 %,2,0,2,2.47 %,9,23,2,2,36,4.33 %,3.96 %,33.33 %,4.26 %,21,14,11,66.67 %,17,11,2,1,31,1,14,7,1,0,0,15,1048,598,433205,49021,2346,1089,1218,993,787,517932
2022-09-11,1397,5745,282,7424,1241,5280,269,6790,192,664,132,988,13.74 %,11.56 %,46.81 %,13.31 %,65,25,90,9.11 %,0,0,0,0.00 %,16,25,0,17,58,8.33 %,3.77 %,12.88 %,5.87 %,31,24,19,77.42 %,8,11,2,6,27,2,16,4,3,0,0,19,0,598,425255,48177,2312,1073,1189,976,775,503619
2022-09-10,1229,5202,23,6454,1093,4732,17,5842,159,568,38,765,12.94 %,10.92 %,165.22 %,11.85 %,44,21,65,8.50 %,0,0,0,0.00 %,7,22,5,4,38,4.40 %,4.75 %,10.53 %,4.97 %,27,14,11,51.85 %,8,7,2,0,17,0,17,6,0,0,0,17,6645,598,418336,47192,2254,1050,1151,958,760,493450
2022-09-09,1389,6713,25,8127,1196,6180,20,7396,162,566,2,730,11.66 %,8.43 %,8.00 %,8.98 %,41,21,62,8.49 %,0,0,0,0.00 %,12,22,2,2,38,7.41 %,4.24 %,100.00 %,5.21 %,28,14,13,50.00 %,8,11,0,1,20,0,7,2,0,0,0,7,1048,0,412225,46427,2220,1030,1129,940,744,479626
2022-09-08,1405,6770,18,8193,1240,6177,12,7429,179,540,4,723,12.74 %,7.98 %,22.22 %,8.82 %,27,23,50,6.92 %,0,0,0,0.00 %,6,11,2,1,20,3.35 %,2.41 %,25.00 %,2.77 %,15,9,7,60.00 %,3,5,0,1,9,1,13,2,1,0,0,14,1048,0,405791,45697,2184,1013,1103,927,733,466551
2022-09-07,1395,7668,31,9094,1237,7042,28,8307,196,538,2,736,14.05 %,7.02 %,6.45 %,8.09 %,35,22,57,7.74 %,0,0,0,0.00 %,6,17,1,0,24,3.06 %,3.35 %,0.00 %,3.26 %,34,27,18,79.41 %,18,12,2,0,32,0,7,4,2,0,0,9,299,598,399052,44975,2165,1003,1098,921,731,462063
2022-09-06,1268,7463,40,8771,1089,6904,31,8024,204,682,3,889,16.09 %,9.14 %,7.50 %,10.14 %,43,17,60,6.75 %,0,0,0,0.00 %,10,24,4,0,38,4.90 %,4.11 %,0.00 %,4.27 %,27,16,13,59.26 %,13,9,2,1,25,1,13,7,0,0,0,13,3996,598,392238,44240,2141,982,1094,908,717,449248
2022-09-05,1323,8092,184,9599,1160,7457,175,8792,186,657,6,849,14.06 %,8.12 %,3.26 %,8.84 %,29,17,46,5.42 %,1,0,1,2.17 %,8,11,2,1,22,4.30 %,1.98 %,16.67 %,2.59 %,37,18,14,48.65 %,8,11,3,0,22,0,12,5,0,0,0,12,2948,897,384287,43354,2103,964,1077,892,705,435128
2022-09-04,1476,8371,315,10162,1283,7683,306,9272,203,564,57,824,13.75 %,6.74 %,18.10 %,8.11 %,35,29,64,7.77 %,0,0,0,0.00 %,6,15,3,7,31,2.96 %,3.19 %,12.28 %,3.76 %,21,11,11,52.38 %,5,9,0,0,14,1,9,2,2,0,0,11,897,0,376839,42507,2083,947,1072,881,696,424853
2022-09-03,1505,6264,51,7820,1297,5684,45,7026,219,591,36,846,14.55 %,9.43 %,70.59 %,10.82 %,31,20,51,6.03 %,0,0,0,0.00 %,11,15,0,1,27,5.02 %,2.54 %,2.78 %,3.19 %,29,23,19,79.31 %,13,13,1,2,29,0,20,9,2,0,0,22,0,299,368672,41684,2052,932,1053,871,688,419021
2022-09-02,1807,6216,38,8061,1586,5621,30,7237,225,520,12,757,12.45 %,8.37 %,31.58 %,9.39 %,36,21,57,7.53 %,0,0,0,0.00 %,9,18,2,1,30,4.00 %,3.85 %,8.33 %,3.96 %,29,19,19,65.52 %,21,13,0,0,34,0,14,5,0,0,0,14,598,0,361026,40840,2025,911,1043,857,684,409302
2022-09-01,1407,8159,35,9601,1253,7518,31,8802,316,497,5,818,22.46 %,6.09 %,14.29 %,8.52 %,22,42,64,7.82 %,1,0,1,1.56 %,7,10,0,0,17,2.22 %,2.01 %,0.00 %,2.08 %,31,15,13,48.39 %,18,7,0,1,26,0,9,5,1,0,0,10,0,0,354831,40084,1994,889,1036,844,677,397789
2022-08-31,1164,7070,46,8280,1039,6418,38,7495,229,636,11,876,19.67 %,9.00 %,23.91 %,10.58 %,38,29,67,7.65 %,1,1,2,2.99 %,11,20,1,0,32,4.80 %,3.30 %,0.00 %,3.65 %,33,16,15,48.48 %,9,8,0,1,18,0,16,9,1,0,0,17,2649,0,348597,39266,1978,873,1038,829,667,388668
2022-08-30,1193,7849,62,9104,1061,7223,53,8337,165,576,7,748,13.83 %,7.34 %,11.29 %,8.22 %,39,11,50,6.68 %,2,0,2,4.00 %,12,14,1,1,28,7.27 %,2.60 %,14.29 %,3.74 %,31,17,12,54.84 %,11,7,1,0,19,0,16,6,1,0,0,17,299,299,340294,38394,1946,856,1027,818,660,377988
2022-08-29,1162,9119,63,10344,1051,8429,55,9535,187,677,9,873,16.09 %,7.42 %,14.29 %,8.44 %,42,22,64,7.33 %,3,0,3,4.69 %,14,22,2,0,38,7.49 %,3.55 %,0.00 %,4.35 %,36,21,12,58.33 %,16,8,0,1,25,0,21,11,0,0,0,21,3398,0,333247,37647,1919,841,1024,810,654,371410
2022-08-28,1152,7883,55,9090,1035,7217,46,8298,189,713,9,911,16.41 %,9.04 %,16.36 %,10.02 %,25,15,40,4.39 %,1,0,1,2.50 %,3,18,0,0,21,1.59 %,2.52 %,0.00 %,2.31 %,77,47,42,61.04 %,40,16,0,9,65,0,3,3,0,0,0,3,0,0,325233,36777,1881,824,1028,802,652,358290
2022-08-27,1260,6637,46,7943,1110,5986,43,7139,181,681,12,874,14.37 %,10.26 %,26.09 %,11.00 %,38,48,86,9.84 %,1,0,1,1.16 %,12,16,1,2,31,6.63 %,2.50 %,16.67 %,3.55 %,40,16,14,40.00 %,36,6,0,3,45,0,12,8,1,0,0,13,299,0,316585,35867,1860,782,1042,773,643,338855
2022-08-26,1318,7393,53,8764,1196,6689,42,7927,174,583,7,764,13.20 %,7.89 %,13.21 %,8.72 %,37,0,37,4.84 %,3,0,3,8.11 %,9,19,1,0,29,5.17 %,3.43 %,0.00 %,3.80 %,46,27,24,58.70 %,16,13,0,3,32,0,9,2,0,0,0,9,749,0,308960,34995,1829,763,1031,755,632,323005
2022-08-25,1284,6477,70,7831,1134,5790,57,6981,187,570,14,771,14.56 %,8.80 %,20.00 %,9.85 %,101,8,109,14.14 %,3,0,3,2.75 %,11,17,0,2,30,5.88 %,2.98 %,14.29 %,3.89 %,45,27,22,60.00 %,14,14,0,1,29,0,3,1,0,0,0,3,0,0,302293,34232,1800,738,1021,731,611,312688
2022-08-24,1369,7083,91,8543,1226,6384,74,7684,205,607,16,828,14.97 %,8.57 %,17.58 %,9.69 %,80,23,103,12.44 %,8,1,9,8.74 %,14,19,3,4,40,6.83 %,3.62 %,25.00 %,4.83 %,38,23,22,60.53 %,12,8,0,4,24,0,19,8,1,0,0,20,3697,0,295012,33468,1770,714,1009,709,591,302969
2022-08-23,1594,5977,69,7640,1440,5337,52,6829,206,614,13,833,12.92 %,10.27 %,18.84 %,10.90 %,41,15,56,6.72 %,2,2,4,7.14 %,10,17,1,2,30,4.85 %,2.93 %,15.38 %,3.60 %,40,19,18,47.50 %,12,6,0,1,19,0,17,5,0,0,0,17,299,0,288398,32642,1731,686,992,682,572,286200
2022-08-22,1867,10700,678,13245,1741,9845,656,12242,246,643,18,907,13.18 %,6.01 %,2.65 %,6.85 %,36,27,63,6.95 %,1,0,1,1.59 %,12,20,1,4,37,4.88 %,3.27 %,22.22 %,4.08 %,37,22,22,59.46 %,4,16,0,3,23,0,17,8,0,0,0,17,299,0,281376,31810,1703,665,979,663,560,279622
2022-08-21,1555,11790,552,13897,1421,10874,540,12835,260,816,258,1334,16.72 %,6.92 %,46.74 %,9.60 %,90,26,116,8.70 %,2,2,4,3.45 %,25,29,2,20,76,9.62 %,3.80 %,7.75 %,5.70 %,52,37,33,71.15 %,17,22,0,1,40,0,32,11,0,0,0,32,598,0,274716,30905,1667,636,957,636,543,267852
2022-08-20,1482,10219,88,11789,1341,9368,72,10781,257,813,46,1116,17.34 %,7.96 %,52.27 %,9.47 %,42,22,64,5.73 %,4,1,5,7.81 %,12,23,3,3,41,4.67 %,3.20 %,6.52 %,3.67 %,45,26,24,57.78 %,13,13,0,0,26,0,24,6,0,0,0,24,4147,0,262153,29573,1591,601,901,601,521,255294
2022-08-19,1558,9658,130,11346,1406,8852,113,10371,261,702,25,988,16.75 %,7.27 %,19.23 %,8.71 %,57,22,79,8.00 %,6,1,7,8.86 %,20,24,3,5,52,7.66 %,3.85 %,20.00 %,5.26 %,47,30,30,63.83 %,9,15,0,6,30,0,12,6,0,0,0,12,3247,0,250721,28460,1550,571,875,571,497,243074
